REPOSITORY                                TAG                         IMAGE ID       SIZE
openclaw-docker-extension-runtime         helper-test                 38c45d120f6c   3.49GB
openclaw-docker-extension                 dev                         a4c4d4bb533a   14.2MB
openclaw-docker-extension-release-check   v0.3.4                      a20365a6b03c   14.2MB
openclaw-docker-extension                 0.0.1                       e7b6735763ef   14.2MB
openclaw-docker-extension                 marketplace-category-test   e7b6735763ef   14.2MB
openclaw-docker-extension-release-check   v0.3.3                      22f5955b0c1a   14.2MB
openclaw-docker-extension                 title-label-check           2f72bbab7c8b   14.2MB
openclaw-docker-extension-release-check   v0.3.2                      ccf7acb1b70e   14.2MB
openclaw-docker-extension                 0.3.2-validator             3ed9d20e50c6   14.2MB
openclaw-docker-extension-release-check   v0.3.1                      36f5ecd3b140   14.2MB
openclaw-docker-extension-release-check   v0.3.0                      a39c0b714e80   14.2MB
openclaw-docker-extension                 issue-9                     bf31baca9ca9   14.1MB
openclaw-docker-extension                 issue-6                     9df26b299bd3   14.1MB
openclaw-docker-extension-runtime         dev                         5f3f4e70a38a   3.49GB
openclaw-docker-extension-runtime         issue-9                     f92b80e72941   3.49GB
openclaw-docker-extension-runtime         issue-6                     75e2b6d89dc5   3.49GB
openclaw-docker-extension-release-check   v0.0.0-ci                   b644bfcfe994   14.1MB
openclaw-docker-extension                 test                        b72f03454831   14.1MB
openclaw-docker-extension-release-check   v0.1.0-test                 2340c2716225   14.1MB
openclaw-docker-extension-release-check   test                        c3b68b7150f2   14.1MB
openclaw-docker-extension                 ghcr-foundation-test        5ab0b2ebbc8b   14.1MB
openclaw-docker-extension-runtime         test-ro                     ccb1adf247be   3.49GB
openclaw-docker-extension-runtime         test                        3f7245cb3df6   3.49GB
