2026/09/05 23:05:59 socat[20] E connect(5, AF=2 127.0.0.1:18789, 16): Connection refused
2026/09/06 15:38:16 socat[14] E connect(5, AF=2 127.0.0.1:18789, 16): Connection refused
2026/09/08 18:01:01 socat[18] E connect(5, AF=2 127.0.0.1:18789, 16): Connection refused
2026/09/08 18:54:30 socat[19] E connect(5, AF=2 127.0.0.1:18789, 16): Connection refused
2026/09/09 15:58:38 socat[14] E connect(5, AF=2 127.0.0.1:18789, 16): Connection refused
2026/09/09 16:10:09 socat[20] E connect(5, AF=2 127.0.0.1:18789, 16): Connection refused
2026/09/10 15:17:13 socat[13] E connect(5, AF=2 127.0.0.1:18789, 16): Connection refused
2026/09/11 15:57:22 socat[60] E connect(5, AF=2 127.0.0.1:18789, 16): Connection refused
2026/09/11 21:01:03 socat[14] E connect(5, AF=2 127.0.0.1:18789, 16): Connection refused
2026/09/13 18:48:42 socat[14] E connect(5, AF=2 127.0.0.1:18789, 16): Connection refused
2026/09/15 15:27:45 socat[13] E connect(5, AF=2 127.0.0.1:18789, 16): Connection refused
2026/09/18 13:27:04 socat[14] E connect(5, AF=2 127.0.0.1:18789, 16): Connection refused
2026/09/19 13:15:58 socat[14] E connect(5, AF=2 127.0.0.1:18789, 16): Connection refused
2026/09/19 18:08:20 socat[18] E connect(5, AF=2 127.0.0.1:18789, 16): Connection refused
2026/09/19 18:08:25 socat[34] E connect(5, AF=2 127.0.0.1:18789, 16): Connection refused
2026/09/19 18:08:30 socat[61] E connect(5, AF=2 127.0.0.1:18789, 16): Connection refused
2026/09/19 18:08:34 socat[97] E connect(5, AF=2 127.0.0.1:18789, 16): Connection refused
